iata_code,type,name,scheduled_service
UTK,small_airport,Utirik Airport,yes
OCA,small_airport,Ocean Reef Club Airport,no
CSE,small_airport,Crested Butte Airpark,no
CUS,small_airport,Columbus Airport,no
JCY,small_airport,LBJ Ranch Airport,no
WLR,seaplane_base,Loring Seaplane Base,no
NUP,small_airport,Nunapitchuk Airport,yes
PTC,seaplane_base,Port Alice Seaplane Base,no
ICY,small_airport,Icy Bay Airport,no
PPV,seaplane_base,Port Protection Seaplane Base,yes
KKK,small_airport,Kalakaket Creek AS Airport,no
MHS,small_airport,Dunsmuir Muni-Mott Airport,no
NIR,small_airport,Chase Field Industrial Airport,no
GCT,small_airport,Grand Canyon Bar Ten Airstrip,no
ELW,seaplane_base,Ellamar Seaplane Base,no
LVD,small_airport,Lime Village Airport,no
HGZ,small_airport,Hog River Airport,no
OTN,small_airport,Ed-Air Airport,no
TLF,small_airport,Telida Airport,no
BZT,small_airport,Eagle Air Park,no
HBH,seaplane_base,Entrance Island Seaplane Base,no
FAK,seaplane_base,False Island Seaplane Base,no
BYW,small_airport,Blakely Island Airport,yes
DRF,small_airport,Drift River Airport,no
BDF,small_airport,Rinkenberger Restricted Landing Area,no
TEH,small_airport,Tetlin Airport,no
VRS,small_airport,Roy Otten Memorial Airfield,no
GDH,seaplane_base,Golden Horn Lodge Seaplane Base,no
ATT,small_airport,Atmautluak Airport,yes
LIV,small_airport,Livengood Camp Airport,no
PDB,small_airport,Pedro Bay Airport,yes
KOZ,small_airport,Ouzinkie Airport,yes
TNK,small_airport,Tununak Airport,yes
WHD,seaplane_base,Hyder Seaplane Base,yes
MNT,small_airport,Minto Al Wright Airport,yes
TKI,seaplane_base,Tokeen Seaplane Base,no
WKK,medium_airport,Aleknagik / New Airport,yes
WFB,seaplane_base,Ketchikan Harbor Seaplane Base,yes
RFK,small_airport,Rollang Field,no
NNK,small_airport,Naknek Airport,no
BKF,seaplane_base,Lake Brooks Seaplane Base,yes
BCS,small_airport,Southern Seaplane Airport,no
MMN,small_airport,Minute Man Air Field,no
SPQ,heliport,Catalina Air-Sea Terminal Heliport,no
TSS,heliport,East 34th Street Heliport,yes
NYS,seaplane_base,New York Skyports Inc Seaplane Base,yes
BWL,small_airport,Earl Henry Airport,no
WYB,seaplane_base,Yes Bay Lodge Seaplane Base,no
CWS,small_airport,Center Island Airport,yes
TEK,small_airport,Tatitlek Airport,yes
DUF,small_airport,Pine Island Airport,no
SSW,small_airport,Stuart Island Airpark,yes
FOB,small_airport,Fort Bragg Airport,no
PUL,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,no
CCD,heliport,Century City Heliport,no
WMK,seaplane_base,Meyers Chuck Seaplane Base,no
AXB,small_airport,Maxson Airfield,no
REE,small_airport,Reese Airpark,no
WDN,small_airport,Waldron Airstrip,yes
WWP,seaplane_base,Whale Pass Seaplane Float Harbor Facility,yes
CHU,small_airport,Chuathbaluk Airport,yes
UGS,small_airport,Ugashik Airport,no
JID,heliport,Recreation and Conference Center Heliport,no
PSQ,seaplane_base,Philadelphia Seaplane Base,no
KLL,small_airport,Levelock Airport,no
SGW,seaplane_base,Saginaw Seaplane Base,no
WTL,small_airport,Tuntutuliak Airport,yes
TWA,small_airport,Twin Hills Airport,yes
KCQ,small_airport,Chignik Lake Airport,yes
AAD,small_airport,Adado Airport,no
ABP,small_airport,Atkamba Airport,no
ACM,small_airport,Arica Airport,no
ADV,small_airport,El Daein Airport,no
AEE,small_airport,Adareil Airport,no
AEQ,small_airport,Ar Horqin Airport,no
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,no
AFT,small_airport,Afutara Aerodrome,no
RNA,small_airport,Ulawa Airport,no
ATD,small_airport,Uru Harbour Airport,no
VEV,small_airport,Barakoma Airport,no
BPF,small_airport,Batuna Aerodrome,no
GEF,small_airport,Geva Airport,no
AGG,small_airport,Angoram Airport,no
AKS,small_airport,Gwaunaru'u Airport,yes
BNY,small_airport,Bellona/Anua Airport,yes
CHY,small_airport,Choiseul Bay Airport,yes
BAS,small_airport,Ballalae Airport,yes
FRE,small_airport,Fera/Maringe Airport,yes
HIR,large_airport,Honiara International Airport,yes
MBU,small_airport,Babanakira Airport,no
AVU,small_airport,Avu Avu Airport,no
IRA,small_airport,Ngorangora Airport,yes
SCZ,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,yes
MUA,medium_airport,Munda Airport,yes
GZO,small_airport,Nusatupe Airport,yes
MNY,small_airport,Mono Airport,yes
PRS,small_airport,Parasi Airport,no
